sku,advertise,group,subsku1,subsku2,subsku3,subsku4,subsku5,subsku6,subsku7,subsku8,subsku9,subsku10,upc,collection,title,color1,color2,color3,color4,colorlink,fabric1,fabric2,fabric3,price,map,category,subcategory1,subcategory2,subcategory3,subcategory4,weight,height,width,depth,sizelink,class,description,feature 1,feature 2,feature 3,feature 4,feature 5,assembly,material1,material2,material3,material4,wood,origin,shipmethod,boxcount,boxweight,boxheight,boxwidth,boxdepth,box2weight,box2height,box2width,box2depth,box3weight,box3height,box3width,box3depth,box4weight,box4height,box4width,box4depth,box5weight,box5height,box5width,box5depth,box6weight,box6height,box6width,box6depth,box7weight,box7height,box7width,box7depth,box8weight,box8height,box8width,box8depth,box9weight,box9height,box9width,box9depth,estimatedship,shipnote,mainimage1,"mainimage2,mainimage3",setimage1,setimage2,setimage3,roomimage1,roomimage2,roomimage3,additionalimage1,additionalimage2,additionalimage3,additionalimage4,additionalimage5,additionalimage6,additionalimage7,additionalimage8,additionalimage9,additionalimage10,diagramimage1,diagramimage2,diagramimage3,swatchimage1,swatchimage2,swatchimage3,swatchimage4,swatchimage5,swatchimage6,swatchimage7,swatchimage8,swatchimage9,swatchimage10
4321-722,TRUE,4321BKRP4PCC,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BKRP4PCC,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-718,TRUE,4321BKRP4PCC,,,,,,,,,,,796995968158,Outback,Outback Chesser,Warm chestnut,,,,,,,,$575.0,,Bedroom Group,Chesser,,,,160.0,40.4,55.0,18.5,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,165.0,20.0,42.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-718.jpg,,,,,,,,,,,,,,,,,,,hh4321-718.jpg,,,hh4321-718.jpg,,,,,,,,,
4321BQRP5PCD,TRUE,4321BQRP5PCD,4321-576,4321-586,4321-556,4321-566,4321-717,4321-722,4321-774,4321-786,,,796995992337,Outback,"Outback Panel Bed - Queen, Nightstand, Dresser, Mirror, and Chest",Warm chestnut,,,,,,,,$1620.0,,Bedroom Group,Five-Piece Bedroom Set,Wood,Panel,Queen,600.0,62.0,81.5,19.2,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,8.0,84.0,5.0,44.0,70.0,53.0,5.0,31.0,70.0,35.0,4.0,8.0,83.0,24.0,3.0,8.0,63.0,161.0,20.0,36.0,65.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,155.0,20.0,43.0,53.0,,,,,465.0,,hh4321bqrp5pcd.jpg,,,,,,,,,,,,,,,,,,,hh4321bqrp5pcd.jpg,,,hh4321bqrp5pcd.jpg,,,,,,,,,
4321-576,TRUE,4321BQRP5PCD,,,,,,,,,,,796995968066,Outback,Outback Panel Bed Headboard - Queen,Warm chestnut,,,,,,,,$210.0,,Bedroom Group,Headboard,Wood,Panel,Queen,79.0,62.0,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,84.0,5.0,44.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-586,TRUE,4321BQRP5PCD,,,,,,,,,,,796995968073,Outback,Outback Panel Bed Footboard - Queen,Warm chestnut,,,,,,,,$105.0,,Bedroom Group,Footboard,Wood,Panel,Queen,48.0,29.25,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,53.0,5.0,31.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-556,TRUE,4321BQRP5PCD,,,,,,,,,,,79699596808,Outback,Outback Panel Bed Rails - Queen,Warm chestnut,,,,,,,,$75.0,,Bedroom Group,Rails,Wood,Panel,Queen,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-566,TRUE,4321BQRP5PCD,,,,,,,,,,,796995968097,Outback,Outback Panel Bed Slats - Queen,Warm chestnut,,,,,,,,$25.0,,Bedroom Group,Slats,Wood,Panel,Queen,19.0,1.38,61.0,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,24.0,3.0,8.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-717,TRUE,4321BQRP5PCD,,,,,,,,,,,796995967953,Outback,Outback Split 7-Drawer Dresser,Warm chestnut,,,,,,,,$460.0,,Bedroom Group,Dresser,,,,156.0,34.6,64.0,19.2,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,161.0,20.0,36.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-717.jpg,,,,,,,,,,,,,,,,,,,hh4321-717.jpg,,,hh4321-717.jpg,,,,,,,,,
4321-722,TRUE,4321BQRP5PCD,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BQRP5PCD,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-786,TRUE,4321BQRP5PCD,,,,,,,,,,,796995967946,Outback,Outback 6-Drawer Chest,Warm chestnut,,,,,,,,$415.0,,Bedroom Group,Chest,,,,150.0,51.0,41.5,18.75,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,155.0,20.0,43.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-786.jpg,,,,,,,,,,,,,,,,,,,hh4321-786.jpg,,,hh4321-786.jpg,,,,,,,,,
4321BQRP5PCC,TRUE,4321BQRP5PCC,4321-576,4321-586,4321-556,4321-566,4321-722,4321-774,4321-718,4321-786,,,796995992344,Outback,"Outback Panel Bed - Queen, Nightstand, Chesser, Mirror, and Chest",Warm chestnut,,,,,,,,$1735.0,,Bedroom Group,Five-Piece Bedroom Set,Wood,Panel,Queen,604.0,62.0,81.5,18.75,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,8.0,84.0,5.0,44.0,70.0,53.0,5.0,31.0,70.0,35.0,4.0,8.0,83.0,24.0,3.0,8.0,63.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,165.0,20.0,42.0,57.0,155.0,20.0,43.0,53.0,,,,,465.0,,hh4321bqrp5pcc.jpg,,,,,,,,,,,,,,,,,,,hh4321bqrp5pcc.jpg,,,hh4321bqrp5pcc.jpg,,,,,,,,,
4321-576,TRUE,4321BQRP5PCC,,,,,,,,,,,796995968066,Outback,Outback Panel Bed Headboard - Queen,Warm chestnut,,,,,,,,$210.0,,Bedroom Group,Headboard,Wood,Panel,Queen,79.0,62.0,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,84.0,5.0,44.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-586,TRUE,4321BQRP5PCC,,,,,,,,,,,796995968073,Outback,Outback Panel Bed Footboard - Queen,Warm chestnut,,,,,,,,$105.0,,Bedroom Group,Footboard,Wood,Panel,Queen,48.0,29.25,68.0,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,53.0,5.0,31.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-556,TRUE,4321BQRP5PCC,,,,,,,,,,,79699596808,Outback,Outback Panel Bed Rails - Queen,Warm chestnut,,,,,,,,$75.0,,Bedroom Group,Rails,Wood,Panel,Queen,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-566,TRUE,4321BQRP5PCC,,,,,,,,,,,796995968097,Outback,Outback Panel Bed Slats - Queen,Warm chestnut,,,,,,,,$25.0,,Bedroom Group,Slats,Wood,Panel,Queen,19.0,1.38,61.0,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,24.0,3.0,8.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-722,TRUE,4321BQRP5PCC,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BQRP5PCC,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-718,TRUE,4321BQRP5PCC,,,,,,,,,,,796995968158,Outback,Outback Chesser,Warm chestnut,,,,,,,,$575.0,,Bedroom Group,Chesser,,,,160.0,40.4,55.0,18.5,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,165.0,20.0,42.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-718.jpg,,,,,,,,,,,,,,,,,,,hh4321-718.jpg,,,hh4321-718.jpg,,,,,,,,,
4321-786,TRUE,4321BQRP5PCC,,,,,,,,,,,796995967946,Outback,Outback 6-Drawer Chest,Warm chestnut,,,,,,,,$415.0,,Bedroom Group,Chest,,,,150.0,51.0,41.5,18.75,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,155.0,20.0,43.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-786.jpg,,,,,,,,,,,,,,,,,,,hh4321-786.jpg,,,hh4321-786.jpg,,,,,,,,,
4321BKRP5PCD,TRUE,4321BKRP5PCD,4321-676,4321-686,4321-656,4321-666,4321-717,4321-722,4321-774,4321-786,,,796995992351,Outback,"Outback Panel Bed - King, Nightstand, Dresser, Mirror, and Chest",Warm chestnut,,,,,,,,$1705.0,,Bedroom Group,Five-Piece Bedroom Set,Wood,Panel,King,627.0,62.0,84.75,19.2,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,8.0,95.0,5.0,44.0,87.0,64.0,5.0,31.0,87.0,35.0,4.0,8.0,83.0,29.0,3.0,8.0,80.0,161.0,20.0,36.0,65.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,155.0,20.0,43.0,53.0,,,,,480.0,,hh4321bkrp5pcd.jpg,,,,,,,,,,,,,,,,,,,hh4321bkrp5pcd.jpg,,,hh4321bkrp5pcd.jpg,,,,,,,,,
4321-676,TRUE,4321BKRP5PCD,,,,,,,,,,,796995967908,Outback,Outback Panel Bed Headboard - King,Warm chestnut,,,,,,,,$260.0,,Bedroom Group,Headboard,Wood,Panel,King,90.0,62.0,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,95.0,5.0,44.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-686,TRUE,4321BKRP5PCD,,,,,,,,,,,796995967915,Outback,Outback Panel Bed Footboard - King,Warm chestnut,,,,,,,,$120.0,,Bedroom Group,Footboard,Wood,Panel,King,59.0,29.25,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,64.0,5.0,31.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-656,TRUE,4321BKRP5PCD,,,,,,,,,,,796995967922,Outback,Outback Panel Bed Rails - King,Warm chestnut,,,,,,,,$85.0,,Bedroom Group,Rails,Wood,Panel,King,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-666,TRUE,4321BKRP5PCD,,,,,,,,,,,796995967939,Outback,Outback Panel Bed Slats - King,Warm chestnut,,,,,,,,$35.0,,Bedroom Group,Slats,Wood,Panel,King,24.0,1.38,77.88,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,29.0,3.0,8.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-717,TRUE,4321BKRP5PCD,,,,,,,,,,,796995967953,Outback,Outback Split 7-Drawer Dresser,Warm chestnut,,,,,,,,$460.0,,Bedroom Group,Dresser,,,,156.0,34.6,64.0,19.2,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,161.0,20.0,36.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-717.jpg,,,,,,,,,,,,,,,,,,,hh4321-717.jpg,,,hh4321-717.jpg,,,,,,,,,
4321-722,TRUE,4321BKRP5PCD,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BKRP5PCD,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-786,TRUE,4321BKRP5PCD,,,,,,,,,,,796995967946,Outback,Outback 6-Drawer Chest,Warm chestnut,,,,,,,,$415.0,,Bedroom Group,Chest,,,,150.0,51.0,41.5,18.75,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,155.0,20.0,43.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-786.jpg,,,,,,,,,,,,,,,,,,,hh4321-786.jpg,,,hh4321-786.jpg,,,,,,,,,
4321BKRP5PCC,TRUE,4321BKRP5PCC,4321-676,4321-686,4321-656,4321-666,4321-722,4321-774,4321-718,4321-786,,,796995992368,Outback,"Outback Panel Bed - King, Nightstand, Chesser, Mirror, and Chest",Warm chestnut,,,,,,,,$1820.0,,Bedroom Group,Five-Piece Bedroom Set,Wood,Panel,King,631.0,62.0,84.75,18.75,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,8.0,95.0,5.0,44.0,87.0,64.0,5.0,31.0,87.0,35.0,4.0,8.0,83.0,29.0,3.0,8.0,80.0,51.0,3.0,46.0,52.0,77.0,20.0,31.0,31.0,165.0,20.0,42.0,57.0,155.0,20.0,43.0,53.0,,,,,480.0,,hh4321bkrp5pcc.jpg,,,,,,,,,,,,,,,,,,,hh4321bkrp5pcc.jpg,,,hh4321bkrp5pcc.jpg,,,,,,,,,
4321-676,TRUE,4321BKRP5PCC,,,,,,,,,,,796995967908,Outback,Outback Panel Bed Headboard - King,Warm chestnut,,,,,,,,$260.0,,Bedroom Group,Headboard,Wood,Panel,King,90.0,62.0,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,95.0,5.0,44.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-686,TRUE,4321BKRP5PCC,,,,,,,,,,,796995967915,Outback,Outback Panel Bed Footboard - King,Warm chestnut,,,,,,,,$120.0,,Bedroom Group,Footboard,Wood,Panel,King,59.0,29.25,84.75,4.0,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,64.0,5.0,31.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-656,TRUE,4321BKRP5PCC,,,,,,,,,,,796995967922,Outback,Outback Panel Bed Rails - King,Warm chestnut,,,,,,,,$85.0,,Bedroom Group,Rails,Wood,Panel,King,30.0,2.38,81.5,7.0,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,35.0,4.0,8.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-666,TRUE,4321BKRP5PCC,,,,,,,,,,,796995967939,Outback,Outback Panel Bed Slats - King,Warm chestnut,,,,,,,,$35.0,,Bedroom Group,Slats,Wood,Panel,King,24.0,1.38,77.88,3.5,,,,,,,,,,Wood,,,,,Vietnam,Small Parcel,1.0,29.0,3.0,8.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-722,TRUE,4321BKRP5PCC,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321BKRP5PCC,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,,,,,,,,Wood,,,,,Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-718,TRUE,4321BKRP5PCC,,,,,,,,,,,796995968158,Outback,Outback Chesser,Warm chestnut,,,,,,,,$575.0,,Bedroom Group,Chesser,,,,160.0,40.4,55.0,18.5,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,165.0,20.0,42.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-718.jpg,,,,,,,,,,,,,,,,,,,hh4321-718.jpg,,,hh4321-718.jpg,,,,,,,,,
4321-786,TRUE,4321BKRP5PCC,,,,,,,,,,,796995967946,Outback,Outback 6-Drawer Chest,Warm chestnut,,,,,,,,$415.0,,Bedroom Group,Chest,,,,150.0,51.0,41.5,18.75,,,,,,,,,,Wood,,,,,Vietnam,LTL,1.0,155.0,20.0,43.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-786.jpg,,,,,,,,,,,,,,,,,,,hh4321-786.jpg,,,hh4321-786.jpg,,,,,,,,,
4321-717,TRUE,4321-717,,,,,,,,,,,796995967953,Outback,Outback Split 7-Drawer Dresser,Warm chestnut,,,,,,,,$460.0,,Bedroom Group,Dresser,,,,156.0,34.6,64.0,19.2,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfections of knots, cracks, and blemishes. Each piece is unique and full of rustic charm. The mission-inspired panel bed is available in queen, king, and claifornia king. It has stout, square legs and matching side rails. Alone or combined with the Outback bedroom pieces, the panel bed is a wonderful addition to any home.",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,1.0,161.0,20.0,36.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-717.jpg,,,,,,,,,,,,,,,,,,,hh4321-717.jpg,,,hh4321-717.jpg,,,,,,,,,
4321-722,TRUE,4321-722,,,,,,,,,,,79699596796,Outback,Outback Mirror,Warm chestnut,,,,,,,,$110.0,,Bedroom Group,Mirror,,,,46.0,41.0,49.0,1.75,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfectio",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,Oversized,1.0,51.0,3.0,46.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4321-774,TRUE,4321-774,,,,,,,,,,,796995968141,Outback,Outback Nightstand ,Warm chestnut,,,,,,,,$220.0,,Bedroom Group,Nightstand,,,,72.0,28.75,29.5,18.5,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfectio",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,Oversized,1.0,77.0,20.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1,,hh4321-774.jpg,,,,,,,,,,,,,,,,,,,hh4321-774.jpg,,,hh4321-774.jpg,,,,,,,,,
4321-786,TRUE,4321-786,,,,,,,,,,,796995967946,Outback,Outback 6-Drawer Chest,Warm chestnut,,,,,,,,$415.0,,Bedroom Group,Chest,,,,150.0,51.0,41.5,18.75,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfectio",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,1.0,155.0,20.0,43.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-786.jpg,,,,,,,,,,,,,,,,,,,hh4321-786.jpg,,,hh4321-786.jpg,,,,,,,,,
4321-718,TRUE,4321-718,,,,,,,,,,,796995968158,Outback,Outback Chesser,Warm chestnut,,,,,,,,$575.0,,Bedroom Group,Chesser,,,,160.0,40.4,55.0,18.5,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfectio",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,1.0,165.0,20.0,42.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-718.jpg,,,,,,,,,,,,,,,,,,,hh4321-718.jpg,,,hh4321-718.jpg,,,,,,,,,
4321-790,TRUE,4321-790,,,,,,,,,,,796995987555,Outback,Outback TV Chest,Warm chestnut,,,,,,,,$420.0,,Bedroom Group,Entertainment Chest,,,,143.0,44.1,41.6,18.5,,,"Crafted from high mountain ash solids and some select plywood, the Outback Collection is sturdy and stylish. The timbers are mill cut to give each piece an aged and distressed appearance. The warm chestnut finish is complemented by the natural imperfectio",Aged and distressed appearance,"Stout, square legs",Made from solid ash and some plywood,,,,Wood,,,,"Ash, Plywood",Vietnam,LTL,1.0,148.0,21.0,46.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,hh4321-790.jpg,,,,,,,,,,,,,,,,,,,hh4321-790.jpg,,,hh4321-790.jpg,,,,,,,,,
